Name,Ticker,Sector,Sub-Sector, Market Cap , Close Price ,PE Ratio,Common Shares Outstanding
Reliance Industries Ltd,RELIANCE.NS,Energy,Oil & Gas - Refining & Marketing,1803718.44,2664.80,29.7128481,676.2068814
Tata Consultancy Services Ltd,TCS.NS,Information Technology,IT Services & Consulting,1235021.31,3375.25,32.22327118,365.9051373
HDFC Bank Ltd,HDFCBANK.NS,Financials,Private Banks,778140.46,1401.55,20.4489942,551.2776482
Infosys Ltd,INFY.NS,Information Technology,IT Services & Consulting,640185.65,1526.80,28.95457471,419.3012929
Hindustan Unilever Ltd,HINDUNILVR.NS,Consumer Staple,FMCG - Household Products,551907.24,2348.95,62.15871601,234.9591262
ICICI Bank Ltd,ICICIBANK.NS,Financials,Private Banks,520433.60,748.50,20.7260663,691.6258476
Housing Development Finance Corporation Ltd,SBIN.NS,Financials,Home Financing,429403.04,2367.25,19.00459996,180.3946433
State Bank of India,HDFC.NS,Financials,Public Banks,423562.06,474.60,12.26050474,892.4611534
Bharti Airtel Ltd,BHARTIARTL.NS,Communication Services,Telecom Services,396461.02,699.05,93.17751675,559.511262
Kotak Mahindra Bank Ltd,KOTAKBANK.NS,Financials,Private Banks,378314.19,1903.20,31.70619426,198.1835668
Bajaj Finance Ltd,ADANIGREEN.NS,Industrials,Consumer Finance,370471.15,6111.20,52.71187095,60.1565625
Adani Green Energy Ltd,BAJFINANCE.NS,Financials,Renewable Energy,340828.35,2151.65,698.4187462,156.401428
ITC Ltd,ITC.NS,Consumer Staple,FMCG - Tobacco,331557.20,269.05,21.77689859,1230.884423
Adani Total Gas Ltd,ASIANPAINT.NS,Materials,Gas Distribution,284795.82,2589.50,564.3320671,109.9810083
HCL Technologies Ltd,HCLTECH.NS,Information Technology,IT Services & Consulting,282194.03,1039.90,20.90481023,271.3665096
Asian Paints Ltd,ATGL.NS,Utilities,Paints,272732.36,2844.00,89.99375102,95.919779
Wipro Ltd,ADANITRANS.NS,Utilities,IT Services & Consulting,260262.69,476.25,21.281374,547.9138555
Adani Enterprises Ltd,ADANIENT.NS,Industrials,Commodities Trading,246884.34,2165.65,531.8147099,109.9810083
Avenue Supermarts Ltd,WIPRO.NS,Information Technology,Retail - Department Stores,245921.18,3796.40,164.7657926,64.7774691
Maruti Suzuki India Ltd,DMART.NS,Consumer Discretionary,Four Wheelers,242083.94,8013.90,62.4008092,30.208006
Adani Transmission Ltd,MARUTI.NS,Consumer Discretionary,Power Infrastructure,241169.52,2162.00,200.2054757,109.9810083
Larsen & Toubro Ltd,LT.NS,Industrials,Construction & Engineering,233359.58,1660.85,27.32183028,140.4555297
Sun Pharmaceutical Industries Ltd,SUNPHARMA.NS,Health Care,Pharmaceuticals,213132.93,888.30,64.79642151,239.933497
Axis Bank Ltd,AXISBANK.NS,Financials,Private Banks,213033.00,693.65,15.13367765,306.3748652
Bajaj Finserv Ltd,ONGC.NS,Energy,Insurance,205633.83,12924.05,45.12710304,15.9136111
Titan Company Ltd,BAJAJFINSV.NS,Financials,"Precious Metals, Jewellery & Watches",200275.68,2255.90,92.16552224,88.778616
Oil and Natural Gas Corporation Ltd,TITAN.NS,Consumer Discretionary,Oil & Gas - Exploration & Production,181218.92,144.05,3.980898995,1258.027921
UltraTech Cement Ltd,ULTRACEMCO.NS,Materials,Cement,175998.41,6102.65,23.96391294,28.8653398
Nestle India Ltd,NESTLEIND.NS,Consumer Staple,FMCG - Foods,170722.34,17706.90,79.59603152,9.6415716
Power Grid Corporation of India Ltd,ADANIPORTS.NS,Industrials,Power Transmission & Distribution,159214.71,228.25,9.46350744,697.5330794
Tata Motors Ltd,POWERGRID.NS,Utilities,Four Wheelers,157768.63,442.40,-13.87903051,332.0557765
Tata Motors Ltd - DVR,JSWSTEEL.NS,Materials,Four Wheelers,157768.63,213.45,-12.06880666,
Adani Ports and Special Economic Zone Ltd,TATAMOTORS.NS,Consumer Discretionary,Ports,155196.06,734.70,32.82426122,203.1751761
NTPC Ltd,TATAMTRDVR.NS,Consumer Discretionary,Power Generation,146322.69,150.90,8.774500444,969.6666134
JSW Steel Ltd,NTPC.NS,Utilities,Iron & Steel,129847.55,538.85,6.283452886,301.5766346
HDFC Life Insurance Company Ltd,TATASTEEL.NS,Materials,Insurance,128665.05,608.90,96.96445921,202.0943966
Tata Steel Ltd,HINDZINC.NS,Materials,Iron & Steel,127930.74,1047.45,3.186007822,120.4516515
Hindustan Zinc Ltd,VEDL.NS,Materials,Mining - Diversified,126041.27,298.30,13.08975654,422.5319
Mahindra and Mahindra Ltd,HDFCLIFE.NS,Financials,Four Wheelers,119335.12,998.35,18.14342649,111.0297953
Vedanta Ltd,COALINDIA.NS,Materials,Metals - Diversified,116150.40,313.20,6.177883965,372
Coal India Ltd,DIVISLAB.NS,Health Care,Mining - Coal,115366.27,187.20,6.646250124,616.2728327
SBI Life Insurance Company Ltd,IOC.NS,Energy,Insurance,114890.23,1148.40,76.28884248,100.0070908
Tech Mahindra Ltd,TECHM.NS,Information Technology,IT Services & Consulting,113161.52,1164.00,20.3304855,96.8260067
Pidilite Industries Ltd,BAJAJ-AUTO.NS,Consumer Discretionary,Diversified Chemicals,113073.84,2224.60,93.63827951,50.815338
Bajaj Auto Ltd,PIDILITIND.NS,Materials,Two Wheelers,111600.18,3856.70,18.09966454,28.936702
Indian Oil Corporation Ltd,M&M.NS,Consumer Discretionary,Oil & Gas - Refining & Marketing,109298.39,116.10,4.354130493,918.1040466
Divi's Laboratories Ltd,SBILIFE.NS,Financials,Labs & Life Sciences Services,94679.37,3566.50,31.98141129,26.546858
Grasim Industries Ltd,GRASIM.NS,Materials,Cement,94639.35,1441.00,12.5353788,65.8073139
Hindalco Industries Ltd,HINDALCO.NS,Materials,Metals - Aluminium,93356.49,416.75,6.799452988,222.4020885
Dabur India Ltd,DABUR.NS,Consumer Staple,FMCG - Personal Products,90178.36,510.10,51.84988627,176.7425349
Britannia Industries Ltd,SIEMENS.NS,Industrials,FMCG - Foods,86140.52,3576.25,56.49225768,24.0868296
Siemens Ltd,BRITANNIA.NS,Consumer Staple,Conglomerates,86106.32,2417.90,78.9748844,35.6120255
DLF Ltd,DLF.NS,Real Estate,Real Estate,85856.19,346.85,101.7060587,247.5311706
Godrej Consumer Products Ltd,SHREECEM.NS,Materials,FMCG - Personal Products,81448.58,796.50,45.67065137,102.2486273
Shree Cement Ltd,CIPLA.NS,Health Care,Cement,81037.12,22460.40,34.75094694,3.6080748
Cipla Ltd,GODREJCP.NS,Consumer Staple,Pharmaceuticals,79620.51,986.80,31.47590893,80.6463279
Havells India Ltd,HAVELLS.NS,Industrials,Electrical Components & Equipments,76253.55,1217.60,63.7321056,62.5802834
ICICI Prudential Life Insurance Company Ltd,TATAPOWER.NS,Utilities,Insurance,76238.79,530.40,100.4199058,143.5974231
Eicher Motors Ltd,EICHERMOT.NS,Industrials,Trucks & Buses,75423.98,2758.45,44.98627083,27.3335922
Tata Power Company Ltd,ICICIPRULI.NS,Financials,Power Transmission & Distribution,74531.29,233.25,42.79816644,319.6991847
Ambuja Cements Ltd,AMBUJACEM.NS,Materials,Cement,73776.65,371.55,26.53473571,198.5645229
Larsen & Toubro Infotech Ltd,BPCL.NS,Energy,IT Services & Consulting,73459.24,4191.10,31.98329994,17.4750608
SBI Cards and Payment Services Ltd,LTI.NS,Information Technology,Payment Infrastructure,73124.95,775.25,45.24666891,94.0525456
